MS_SubClass,MS_Zoning,Lot_Area,Alley,Neighborhood,Bldg_Type,Overall_Qual,Year_Built,Roof_Style,Roof_Matl,Mas_Vnr_Type,1st_Flr_SF,2nd_Flr_SF,Garage_Area,Paved_Drive,SalePrice,total_sq
1-STPUD-1946 & NEWER,Resi Low Density,9549,True,Veenker,TwnhsE,Very good,1995,Hip,CompShg,None,1494,0,481.0,Paved,270000,1975.0
1-STORY 1946 & NEWER,Resi Low Density,10950,True,NAmes,1Fam,Above Avg,1952,Hip,CompShg,None,948,0,410.0,Dirt/Gravel,125000,1358.0
1-STORY 1946 & NEWER,Resi Low Density,10637,True,CollgCr,1Fam,Very good,2007,Hip,CompShg,Stone,1718,0,826.0,Paved,297000,2544.0
1-STORY 1946 & NEWER,Resi Low Density,9000,True,NAmes,1Fam,Above Avg,1958,Flat,Tar&Grv,BrkFace,1142,0,384.0,Paved,113500,1526.0
2ST PUD - 1946 & NEWER,Resi Med Density,2665,True,MeadowV,TwnhsE,Average,1977,Gable,CompShg,None,925,550,336.0,Paved,127000,1811.0
1-STORY 1946 & NEWER,Resi Low Density,11751,True,NWAmes,1Fam,Above Avg,1977,Hip,CompShg,BrkFace,1844,0,546.0,Paved,190000,2390.0
1-STORY 1946 & NEWER,Resi Low Density,9600,True,NWAmes,1Fam,Good,1973,Hip,CompShg,BrkFace,1242,0,528.0,Paved,175500,1770.0
1-STORY 1946 & NEWER,Resi Low Density,8428,True,CollgCr,1Fam,Average,1994,Gable,CompShg,None,990,0,384.0,Paved,146000,1374.0
1-STORY 1946 & NEWER,Resi Low Density,9937,True,Edwards,1Fam,Average,1965,Gable,CompShg,None,1256,0,276.0,Paved,147500,1532.0
1-STORY 1946 & NEWER,Resi Low Density,13891,True,NridgHt,1Fam,Very Excellent,2006,Gable,CompShg,0,2076,0,850.0,Paved,465000,2926.0
SPLIT FOYER,Resi Low Density,9101,True,Mitchel,1Fam,Average,1978,Gable,CompShg,BrkFace,1110,0,602.0,Paved,165500,1712.0
1-1/2 STORY FINISHED,Resi Med Density,12150,False,OldTown,1Fam,Average,1954,Gable,CompShg,BrkFace,1050,745,352.0,Paved,131500,2147.0
1-STORY 1946 & NEWER,Resi Low Density,11200,True,Sawyer,1Fam,Average,1965,Hip,CompShg,None,1040,0,384.0,Paved,129500,1424.0
2-STORY 1945 & OLDER,Resi Low Density,9670,True,Crawfor,1Fam,Very good,1935,Gable,CompShg,Stone,983,890,786.0,Paved,257076,2659.0
1-1/2 STORY FINISHED,Resi Low Density,10998,False,Edwards,1Fam,Average,1941,Gable,CompShg,None,984,620,660.0,Paved,117000,2264.0
2-STORY 1945 & OLDER,Resi Low Density,7200,True,Crawfor,1Fam,Good,1931,Gable,CompShg,None,851,651,270.0,Partial Paved,149000,1772.0
1-STORY 1946 & NEWER,Resi Low Density,9920,True,NAmes,1Fam,Average,1954,Gable,CompShg,Stone,1063,0,280.0,Paved,128000,1343.0
2ST PUD - 1946 & NEWER,Resi Low Density,2448,True,NridgHt,Twnhs,Good,2003,Gable,CompShg,Stone,764,862,474.0,Paved,155000,2100.0
2ST PUD - 1946 & NEWER,Floating Village,2998,True,Somerst,TwnhsE,Above Avg,2000,Gable,CompShg,BrkFace,768,756,440.0,Paved,166000,1964.0
1-1/2 STORY FINISHED,Resi Low Density,7804,True,SWISU,1Fam,Below Avg,1928,Gable,CompShg,None,1328,653,576.0,Paved,135000,2557.0
2-STORY 1946 & NEWER,Resi Low Density,16692,True,NWAmes,1Fam,Good,1978,Gable,CompShg,BrkFace,1392,1392,564.0,Paved,250000,3348.0
2ST PUD - 1946 & NEWER,Resi Med Density,1476,True,MeadowV,Twnhs,Below Avg,1970,Gable,CompShg,None,546,546,0.0,Paved,76000,1092.0
1-STORY 1946 & NEWER,Resi Low Density,10170,True,NAmes,1Fam,Above Avg,1951,Hip,CompShg,BrkFace,1575,0,400.0,Paved,155000,1975.0
2-STORY 1946 & NEWER,Resi Low Density,9364,True,Sawyer,1Fam,Above Avg,1969,Gable,CompShg,Stone,663,689,299.0,Paved,158000,1651.0
2ST PUD - 1946 & NEWER,Floating Village,2544,False,Somerst,Twnhs,Good,2004,Gable,CompShg,None,600,600,480.0,Paved,149500,1680.0
1-STORY 1946 & NEWER,Resi Low Density,9888,True,NAmes,1Fam,Average,1954,Gable,CompShg,None,936,0,240.0,Paved,121000,1176.0
1-STORY 1946 & NEWER,Resi Low Density,7942,True,NAmes,1Fam,Above Avg,1953,Hip,CompShg,None,1040,0,293.0,Paved,136000,1333.0
2-STORY 1946 & NEWER,Resi Low Density,15038,True,Gilbert,1Fam,Above Avg,1996,Gable,CompShg,None,916,720,386.0,Paved,173000,2022.0
2-STORY 1946 & NEWER,Resi Low Density,11764,True,NoRidge,1Fam,Very good,1999,Gable,CompShg,BrkFace,1164,1106,671.0,Paved,290000,2941.0
2-STORY 1946 & NEWER,Floating Village,9000,True,Somerst,1Fam,Very good,2007,Gable,CompShg,None,1184,1426,550.0,Paved,303477,3160.0
1-STORY 1946 & NEWER,Resi Low Density,20062,True,ClearCr,1Fam,Good,1977,Hip,CompShg,None,1483,0,690.0,Paved,270000,2173.0
1-1/2 STORY FINISHED,Resi Med Density,7308,True,OldTown,1Fam,Average,1920,Gable,CompShg,None,960,780,225.0,Dirt/Gravel,122250,1965.0
1-STORY 1946 & NEWER,Resi Low Density,8750,True,NAmes,1Fam,Average,1955,Gable,CompShg,None,1382,0,350.0,Paved,153000,1732.0
1-STORY 1946 & NEWER,Resi Low Density,8402,True,Mitchel,1Fam,Average,2007,Gable,CompShg,None,1120,0,0.0,Paved,147000,1120.0
2-STORY 1945 & OLDER,Resi Low Density,4000,True,Crawfor,1Fam,Good,1930,Gable,CompShg,None,567,531,216.0,Paved,148500,1314.0
2ST PUD - 1946 & NEWER,Resi Med Density,3363,True,Edwards,TwnhsE,Good,2004,Gable,CompShg,Stone,976,732,380.0,Paved,130000,2088.0
1-STORY 1946 & NEWER,Resi Low Density,13615,True,NridgHt,1Fam,Excellent,2006,Hip,CompShg,Stone,1802,0,843.0,Paved,372000,2645.0
1-STPUD-1946 & NEWER,Resi Low Density,3013,True,Blmngtn,TwnhsE,Good,2005,Gable,CompShg,BrkFace,1506,0,440.0,Paved,213490,1946.0
1-STORY 1946 & NEWER,Resi Low Density,17485,True,Edwards,1Fam,Good,2009,Gable,CompShg,Stone,1508,0,572.0,Paved,308030,2080.0
1-STORY 1946 & NEWER,Resi Low Density,23730,True,Mitchel,1Fam,Good,1996,Gable,CompShg,BrkFace,2032,0,786.0,Paved,300000,2818.0
1-STORY 1946 & NEWER,Resi Low Density,8910,True,NAmes,1Fam,Above Avg,1959,Hip,CompShg,None,1194,0,539.0,Paved,159500,1733.0
2ST PUD - 1946 & NEWER,Resi Med Density,2522,True,Edwards,Twnhs,Good,2004,Gable,CompShg,Stone,970,739,380.0,Paved,137500,2089.0
1-STORY 1946 & NEWER,Resi Low Density,8688,True,Somerst,1Fam,Good,2005,Gable,CompShg,BrkFace,1616,0,834.0,Paved,232000,2450.0
1-STORY 1945 & OLDER,Resi Med Density,6291,True,IDOTRR,1Fam,Above Avg,1930,Gable,CompShg,None,768,0,440.0,Dirt/Gravel,93850,1208.0
1-STORY 1945 & OLDER,Resi Low Density,17529,True,Sawyer,1Fam,Average,1924,Gable,CompShg,Stone,872,0,322.0,Dirt/Gravel,105000,1194.0
1-STORY 1945 & OLDER,Resi Med Density,6324,True,BrkSide,1Fam,Below Avg,1927,Gable,CompShg,None,520,0,240.0,Paved,68500,760.0
DUPLEX,Resi Low Density,11600,True,NAmes,Duplex,Average,1960,Gable,CompShg,BrkFace,1105,1169,480.0,Paved,154300,2754.0
1-1/2 STORY FINISHED,Resi Med Density,7288,True,IDOTRR,1Fam,Average,1925,Gable,CompShg,None,936,665,0.0,Dirt/Gravel,129850,1601.0
2-STORY 1945 & OLDER,Resi Med Density,4571,False,OldTown,1Fam,Average,1910,Gable,CompShg,None,616,616,480.0,Paved,114000,1712.0
1-STORY 1946 & NEWER,Resi Low Density,17423,True,StoneBr,1Fam,Excellent,2008,Hip,CompShg,Stone,2234,0,1166.0,Paved,501837,3400.0
1-1/2 STORY FINISHED,Resi Med Density,12665,False,OldTown,1Fam,Average,1915,Gable,CompShg,None,876,540,720.0,Paved,153900,2136.0
1-STORY 1946 & NEWER,Resi Low Density,9000,True,NAmes,1Fam,Below Avg,1971,Gable,CompShg,None,864,0,576.0,Paved,130000,1440.0
1-STPUD-1946 & NEWER,Resi Med Density,4500,True,Mitchel,TwnhsE,Above Avg,1997,Hip,CompShg,BrkFace,1189,0,392.0,Paved,160500,1581.0
1-STPUD-1946 & NEWER,Resi Low Density,6373,True,NridgHt,TwnhsE,Excellent,2006,Hip,CompShg,BrkFace,1666,0,575.0,Paved,310090,2241.0
1-STORY 1946 & NEWER,Resi Low Density,10083,True,SawyerW,1Fam,Good,2003,Gable,CompShg,0,1200,0,555.0,Paved,184900,1755.0
1-STORY 1946 & NEWER,Resi Low Density,13300,True,NAmes,1Fam,Average,1956,Hip,CompShg,None,928,0,252.0,Paved,132000,1180.0
1-STORY 1946 & NEWER,Resi Low Density,9600,True,NWAmes,1Fam,Average,1969,Gable,CompShg,BrkFace,1336,0,502.0,Paved,163000,1838.0
2ST PUD - 1946 & NEWER,Floating Village,3215,False,Somerst,TwnhsE,Good,2004,Gable,CompShg,BrkFace,600,600,480.0,Paved,155000,1680.0
SPLIT OR MULTI-LEVEL,Resi Low Density,11104,True,NWAmes,1Fam,Above Avg,1969,Gable,CompShg,None,1427,0,516.0,Paved,183000,1943.0
2-STORY 1946 & NEWER,Resi Low Density,15295,True,CollgCr,1Fam,Good,1996,Gable,CompShg,BrkFace,1212,780,608.0,Paved,211000,2600.0
2-STORY 1946 & NEWER,Resi Low Density,9109,True,SawyerW,1Fam,Good,1994,Gable,CompShg,None,754,786,495.0,Paved,184000,2035.0
DUPLEX,Resi Low Density,7018,True,SawyerW,Duplex,Average,1979,Gable,CompShg,None,1535,0,400.0,Paved,118858,1935.0
SPLIT OR MULTI-LEVEL,Resi Low Density,14112,True,NAmes,1Fam,Average,1964,Hip,CompShg,BrkFace,1152,0,484.0,Paved,180500,1636.0
1-STPUD-1946 & NEWER,Floating Village,3523,False,Somerst,TwnhsE,Very good,2006,Gable,CompShg,Stone,1151,0,484.0,Paved,166000,1635.0
SPLIT OR MULTI-LEVEL,Resi Low Density,15312,True,Sawyer,1Fam,Above Avg,1960,Hip,CompShg,BrkFace,1138,0,480.0,Paved,148000,1618.0
1-STORY 1946 & NEWER,Resi Low Density,7450,True,NAmes,1Fam,Average,1956,Hip,CompShg,None,1074,0,396.0,Paved,124000,1470.0
1-STPUD-1946 & NEWER,Resi Low Density,7313,True,NridgHt,TwnhsE,Excellent,2005,Hip,CompShg,BrkFace,1561,0,556.0,Paved,277500,2117.0
2-STORY 1946 & NEWER,Resi Low Density,10019,True,NoRidge,1Fam,Very good,1995,Hip,CompShg,BrkFace,1358,1368,725.0,Paved,350000,3451.0
1-STORY 1946 & NEWER,Resi Low Density,15401,True,StoneBr,1Fam,Excellent,2004,Hip,CompShg,BrkFace,1884,0,670.0,Paved,387000,2554.0
1-STORY 1945 & OLDER,Resi Low Density,9098,True,Edwards,1Fam,Below Avg,1920,Gable,CompShg,None,605,0,0.0,Dirt/Gravel,86000,605.0
1-STORY 1946 & NEWER,Resi Low Density,16280,True,Veenker,1Fam,Very good,1976,Gable,CompShg,None,1671,0,550.0,Paved,290000,2221.0
1-STORY 1945 & OLDER,Commercial,9392,True,IDOTRR,1Fam,Fair,1900,Mansard,CompShg,None,797,0,0.0,Dirt/Gravel,44000,797.0
2-STORY 1946 & NEWER,Resi Low Density,12209,True,Mitchel,1Fam,Above Avg,2001,Gable,CompShg,None,804,1157,560.0,Paved,215000,2521.0
2 FAMILY CONVERSION,Resi Low Density,13110,True,NWAmes,2fmCon,Average,1972,Gable,CompShg,BrkFace,1193,0,501.0,Paved,146500,1694.0
2ST PUD - 1946 & NEWER,Floating Village,2651,True,Somerst,Twnhs,Good,2000,Gable,CompShg,None,673,709,490.0,Paved,165000,1872.0
1-1/2 STORY FINISHED,Resi Med Density,8520,False,OldTown,1Fam,Above Avg,1916,Gable,CompShg,None,1664,862,216.0,Paved,136000,2742.0
1-STORY 1946 & NEWER,Resi Low Density,39384,True,NAmes,1Fam,Above Avg,1957,Gable,CompShg,Stone,1390,0,550.0,Paved,252000,1940.0
2ST PUD - 1946 & NEWER,Resi Low Density,2628,True,NridgHt,Twnhs,Good,2003,Gable,CompShg,Stone,764,862,474.0,Paved,175500,2100.0
2-STORY 1945 & OLDER,Resi Med Density,6406,False,OldTown,1Fam,Average,1939,Gable,CompShg,None,868,690,400.0,Paved,150000,1958.0
1-STORY 1946 & NEWER,Resi Low Density,12342,True,NAmes,1Fam,Average,1960,Hip,CompShg,None,1422,0,286.0,Paved,139900,1708.0
1-1/2 STORY FINISHED,Resi Med Density,6240,True,BrkSide,1Fam,Average,1930,Gable,CompShg,None,1128,445,360.0,Partial Paved,162900,1933.0
1-STORY 1946 & NEWER,Resi Low Density,10000,True,NAmes,1Fam,Above Avg,1962,Hip,CompShg,BrkFace,1116,0,440.0,Paved,160000,1556.0
1-STORY 1946 & NEWER,Resi Low Density,9000,True,Sawyer,1Fam,Poor,1947,Gable,CompShg,None,660,0,0.0,Dirt/Gravel,63900,660.0
1-STORY 1946 & NEWER,Resi Low Density,11088,True,NWAmes,1Fam,Above Avg,1978,Gable,CompShg,BrkFace,1707,0,479.0,Paved,184000,2186.0
1-STORY 1946 & NEWER,Resi Low Density,17755,True,Edwards,1Fam,Average,1959,Gable,CompShg,BrkFace,1466,0,528.0,Paved,149900,1994.0
1-STPUD-1946 & NEWER,Floating Village,4765,True,Somerst,TwnhsE,Excellent,2000,Hip,CompShg,BrkFace,1638,0,495.0,Paved,300000,2133.0
2 FAMILY CONVERSION,Resi Low Density,10532,True,ClearCr,1Fam,Average,1960,Flat,Tar&Grv,Stone,1721,0,626.0,Paved,145000,2347.0
2-STORY 1946 & NEWER,Resi Low Density,15426,True,CollgCr,1Fam,Above Avg,1997,Gable,CompShg,None,928,836,470.0,Paved,231500,2234.0
1-STORY 1945 & OLDER,Resi Low Density,13907,True,Edwards,1Fam,Average,1940,Gable,CompShg,None,996,0,0.0,Paved,108000,996.0
1-STORY 1946 & NEWER,Resi Low Density,8750,True,NAmes,1Fam,Average,1956,Gable,CompShg,None,1202,0,304.0,Paved,120000,1506.0
1-STORY 1946 & NEWER,Resi Low Density,9945,True,Sawyer,1Fam,Average,1961,Hip,CompShg,BrkFace,988,0,572.0,Paved,128500,1560.0
1-STORY 1945 & OLDER,Resi Med Density,8960,False,OldTown,1Fam,Average,1927,Gable,CompShg,None,1028,0,360.0,Paved,115000,1388.0
1-1/2 STORY FINISHED,Resi Med Density,3500,False,OldTown,1Fam,Average,1947,Gable,CompShg,None,720,564,240.0,Paved,110000,1524.0
2-STORY 1946 & NEWER,Resi Low Density,24572,True,Veenker,1Fam,Excellent,1977,Mansard,CompShg,BrkFace,1599,1345,864.0,Paved,150000,3808.0
2-STORY 1946 & NEWER,Resi Low Density,9056,True,Gilbert,1Fam,Very good,2004,Gable,CompShg,None,707,707,403.0,Paved,178000,1817.0
2-STORY 1945 & OLDER,Resi Low Density,12320,True,Crawfor,1Fam,Good,1932,Gable,CompShg,None,959,650,579.0,Paved,199500,2188.0
2-STORY 1946 & NEWER,Resi Low Density,8238,True,Gilbert,1Fam,Above Avg,1997,Gable,CompShg,None,813,712,400.0,Paved,183500,1925.0
SPLIT OR MULTI-LEVEL,Resi Med Density,6000,True,IDOTRR,1Fam,Average,1967,Hip,CompShg,None,1092,564,288.0,Paved,126000,1944.0
1-STPUD-1946 & NEWER,Resi Low Density,2529,True,NPkVill,Twnhs,Good,1977,Gable,CompShg,None,1055,0,440.0,Paved,148500,1495.0
2-STORY 1946 & NEWER,Resi Low Density,10800,True,OldTown,1Fam,Average,1939,Gable,CompShg,None,676,676,720.0,Paved,149000,2072.0
2ST PUD - 1946 & NEWER,Resi Low Density,2349,True,NPkVill,Twnhs,Above Avg,1977,Gable,CompShg,None,855,601,440.0,Paved,137900,1896.0
1-STPUD-1946 & NEWER,Resi Low Density,10846,True,Veenker,TwnhsE,Very good,1993,Gable,CompShg,None,1719,0,473.0,Paved,324000,2192.0
1-STORY 1945 & OLDER,Resi Low Density,5604,True,Edwards,1Fam,Average,1925,Gable,CompShg,None,864,0,0.0,Paved,98000,864.0
2ST PUD - 1946 & NEWER,Resi Med Density,1680,True,BrDale,Twnhs,Above Avg,1973,Gable,CompShg,BrkFace,483,504,264.0,Paved,103400,1251.0
1-1/2 STORY FINISHED,Resi Low Density,6342,True,Sawyer,1Fam,Average,1875,Gable,CompShg,None,780,240,0.0,Dirt/Gravel,94000,1020.0
1-STPUD-1946 & NEWER,Resi Low Density,4590,True,NridgHt,Twnhs,Very good,2006,Gable,CompShg,Stone,1554,0,627.0,Paved,209500,2181.0
2-STORY 1946 & NEWER,Resi Low Density,18062,True,StoneBr,1Fam,Very Excellent,2006,Hip,CompShg,BrkFace,1528,1862,758.0,Paved,545224,4148.0
2-STORY 1945 & OLDER,Resi Med Density,12900,False,OldTown,1Fam,Above Avg,1912,Gable,CompShg,None,780,780,0.0,Dirt/Gravel,159900,1560.0
1-STORY 1946 & NEWER,Resi Low Density,19138,True,Gilbert,1Fam,Below Avg,1951,Gable,CompShg,None,864,0,400.0,Paved,141000,1264.0
2-STORY 1946 & NEWER,Resi Low Density,8658,True,Gilbert,1Fam,Above Avg,2000,Gable,CompShg,None,1008,881,431.0,Paved,215000,2320.0
1-STORY 1946 & NEWER,Resi Low Density,6897,True,Sawyer,1Fam,Average,1962,Gable,CompShg,None,1040,0,260.0,Paved,127000,1300.0
1-STORY 1946 & NEWER,Resi Low Density,9525,True,Edwards,1Fam,Average,1954,Gable,CompShg,None,1172,0,366.0,Paved,128000,1538.0
1-STORY 1946 & NEWER,Floating Village,12853,False,Somerst,1Fam,Very good,2010,Gable,CompShg,None,1418,0,852.0,Paved,267916,2270.0
1-1/2 STORY FINISHED,Resi Med Density,6240,True,BrkSide,1Fam,Above Avg,1931,Gable,CompShg,None,959,408,560.0,Paved,127500,1927.0
SPLIT FOYER,Resi Low Density,7301,True,Edwards,1Fam,Good,2003,Gable,CompShg,BrkFace,495,1427,672.0,Paved,198500,2594.0
1-STORY 1946 & NEWER,Resi Low Density,12090,True,NWAmes,1Fam,Above Avg,1981,Gable,CompShg,BrkFace,1422,0,576.0,Paved,175500,1998.0
2-STORY 1946 & NEWER,Resi Low Density,8826,True,CollgCr,1Fam,Good,2000,Gable,CompShg,BrkFace,985,857,486.0,Paved,217500,2328.0
1-1/2 STORY FINISHED,Resi Med Density,8094,False,OldTown,1Fam,Below Avg,1915,Gable,CompShg,None,888,1074,572.0,Paved,149500,2534.0
1-STORY 1946 & NEWER,Resi Low Density,10710,True,NAmes,1Fam,Average,1966,Hip,CompShg,BrkFace,1120,0,656.0,Paved,148800,1776.0
2-STORY 1946 & NEWER,Resi Low Density,16056,True,StoneBr,1Fam,Excellent,2005,Hip,CompShg,Stone,1992,876,716.0,Paved,556581,3584.0
1-STORY 1946 & NEWER,Resi Low Density,8400,True,NAmes,1Fam,Above Avg,1957,Hip,CompShg,None,1478,0,442.0,Paved,156500,1920.0
2-STORY 1946 & NEWER,Resi Low Density,11250,True,CollgCr,1Fam,Good,1995,Gable,CompShg,None,950,1045,610.0,Paved,237000,2605.0
1-STORY 1946 & NEWER,Resi Low Density,7535,True,NAmes,1Fam,Average,1958,Gable,CompShg,None,912,0,297.0,Paved,120000,1209.0
1-STORY 1946 & NEWER,Resi Low Density,12216,True,Gilbert,1Fam,Above Avg,2005,Gable,CompShg,None,1326,0,388.0,Paved,203000,1714.0
1-STPUD-1946 & NEWER,Resi Low Density,3701,True,StoneBr,TwnhsE,Very good,1987,Gable,CompShg,None,1204,0,461.0,Paved,130000,1665.0
2-STORY 1946 & NEWER,Resi Low Density,9760,True,NAmes,1Fam,Above Avg,1964,Gable,CompShg,BrkFace,798,813,442.0,Paved,167900,2053.0
2 FAMILY CONVERSION,Resi Low Density,9873,True,BrkSide,2fmCon,Below Avg,1970,Gable,CompShg,BrkFace,960,0,576.0,Paved,129000,1536.0
1-STORY 1946 & NEWER,Resi Low Density,10011,True,NAmes,1Fam,Average,1957,Gable,CompShg,BrkFace,1236,0,447.0,Paved,134450,1683.0
1-STORY 1945 & OLDER,Resi Low Density,25339,True,Sawyer,1Fam,Average,1918,Gable,CompShg,None,1416,0,576.0,Dirt/Gravel,112000,1992.0
2-STORY 1946 & NEWER,Resi Low Density,8883,True,SawyerW,1Fam,Good,1988,Gable,CompShg,BrkFace,946,927,619.0,Paved,207000,2492.0
DUPLEX,Resi Med Density,3000,False,OldTown,Duplex,Average,1922,Hip,CompShg,None,1088,1040,0.0,Paved,62500,2128.0
2ST PUD - 1946 & NEWER,Resi Low Density,2448,True,NridgHt,Twnhs,Good,2003,Gable,CompShg,Stone,764,862,474.0,Paved,154000,2100.0
1-STORY 1946 & NEWER,Resi Low Density,7100,True,NAmes,1Fam,Average,1957,Gable,CompShg,None,816,0,308.0,Paved,129900,1124.0
2ST PUD - 1946 & NEWER,Resi Med Density,2592,True,MeadowV,TwnhsE,Average,1976,Gable,CompShg,None,536,576,336.0,Paved,85000,1448.0
1-1/2 STORY FINISHED,Resi Med Density,5700,True,OldTown,1Fam,Good,1926,Gable,CompShg,None,572,539,288.0,Paved,116900,1399.0
2ST PUD - 1946 & NEWER,Resi Low Density,2289,True,NPkVill,Twnhs,Above Avg,1978,Gable,CompShg,None,855,586,440.0,Paved,148500,1881.0
2 FAMILY CONVERSION,Resi Low Density,12180,True,Edwards,2fmCon,Below Avg,1941,Gable,CompShg,None,672,252,280.0,Paved,80000,1204.0
SPLIT FOYER,Resi Low Density,7400,True,Sawyer,1Fam,Average,1984,Gable,CompShg,None,1126,0,506.0,Paved,152000,1632.0
1-STORY 1946 & NEWER,Resi Low Density,8842,True,Edwards,1Fam,Average,1954,Gable,CompShg,None,992,0,319.0,Paved,155891,1311.0
1-1/2 STORY FINISHED,Resi Low Density,8850,False,BrkSide,1Fam,Above Avg,1920,Gable,CompShg,None,752,624,576.0,Partial Paved,165000,1952.0
1-STORY 1946 & NEWER,Floating Village,9215,True,Somerst,1Fam,Good,2009,Hip,CompShg,None,1218,0,676.0,Paved,204500,1894.0
